pimcore tax|5%|2.6368
12189	8	OnlineShopOrderItem	10443	object	10443	Hula wms	1	45.9500	\N	\N	\N	36.7600	MwSt 20%|20%|7.3520\
pimcore tax|5%|1.8380
12191	8	OnlineShopOrderItem	5037	object	5037	All Court	1	12.7900	\N	\N	\N	10.2320	MwSt 20%|20%|2.0464\
pimcore tax|5%|0.5116
12193	8	OnlineShopOrderItem	1417	object	1417	MP-LW	1	34.8000	\N	\N	\N	27.8400	MwSt 20%|20%|5.5680\
pimcore tax|5%|1.3920
12206	8	OnlineShopOrderItem	1402	object	1402	MP-S	1	92.9600	\N	\N	cancelled	74.3680	MwSt 20%|20%|14.8736\
pimcore tax|5%|3.7184
12208	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12210	8	OnlineShopOrderItem	1705	object	1705	Supreme Grip	1	33.2300	\N	\N	\N	26.5840	MwSt 20%|20%|5.3168\
pimcore tax|5%|1.3292
12212	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	\N	34.7840	MwSt 20%|20%|6.9568\
pimcore tax|5%|1.7392
12216	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	cancelled	34.7840	MwSt 20%|20%|6.9568\
pimcore tax|5%|1.7392
12240	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12243	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12274	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12337	8	OnlineShopOrderItem	10393	object	10393	Killay ux	1	89.9500	\N	\N	\N	71.9600	MwSt 20%|20%|14.3920\
pimcore tax|5%|3.5980
12404	8	OnlineShopOrderItem	9316	object	9316	Osorno AQX M	1	89.9500	\N	\N	\N	71.9600	MwSt 20%|20%|14.3920\
pimcore tax|5%|3.5980
12406	8	OnlineShopOrderItem	7074	object	7074	Imola 220	1	35.9550	\N	\N	\N	28.7640	MwSt 20%|20%|5.7528\
pimcore tax|5%|1.4382
12408	8	OnlineShopOrderItem	6992	object	6992	Cougar 35	1	79.9500	\N	\N	\N	63.9600	MwSt 20%|20%|12.7920\
pimcore tax|5%|3.1980
12410	8	OnlineShopOrderItem	1148	object	1148	All Court	1	51.7400	\N	\N	\N	41.3920	MwSt 20%|20%|8.2784\
pimcore tax|5%|2.0696
12412	8	OnlineShopOrderItem	1417	object	1417	MP-LW	1	34.8000	\N	\N	\N	27.8400	MwSt 20%|20%|5.5680\
pimcore tax|5%|1.3920
12414	8	OnlineShopOrderItem	1200	object	1200	Classic TF Jr	1	78.5600	\N	\N	\N	62.8480	MwSt 20%|20%|12.5696\
pimcore tax|5%|3.1424
12416	8	OnlineShopOrderItem	1176	object	1176	FORCE Equipment Roller	1	63.7200	\N	\N	\N	50.9760	MwSt 20%|20%|10.1952\
pimcore tax|5%|2.5488
