14	technical-guy		hit	1	10	a:6:{i:0;a:5:{s:4:"type";s:7:"country";s:7:"country";s:2:"AT";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:7:{s:4:"type";s:8:"geopoint";s:9:"longitude";d:13.055010000000038;s:8:"latitude";d:47.813179066305864;s:6:"radius";i:34;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:2;a:5:{s:4:"type";s:7:"browser";s:7:"browser";s:6:"chrome";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:3;a:5:{s:4:"type";s:16:"hardwareplatform";s:8:"platform";s:3:"all";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:4;a:5:{s:4:"type";s:15:"operatingsystem";s:6:"system";s:3:"all";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:5;a:7:{s:4:"type";s:10:"timeonsite";s:5:"hours";i:0;s:7:"minutes";i:2;s:7:"seconds";i:0;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:13;s:6:"weight";i:1;}}
15	male		hit	1	11	a:1:{i:0;a:5:{s:3:"url";s:16:"#gender%5B%5D=m#";s:4:"type";s:3:"url";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:14;s:6:"weight";i:1;}}
16	female		hit	1	12	a:1:{i:0;a:5:{s:3:"url";s:16:"#gender%5B%5D=w#";s:4:"type";s:3:"url";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:15;s:6:"weight";i:1;}}
17	blue-lover		hit	1	13	a:1:{i:0;a:5:{s:3:"url";s:12:"#color=blue#";s:4:"type";s:3:"url";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:3:{s:4:"type";s:19:"assign_target_group";s:11:"targetGroup";i:16;s:6:"weight";i:1;}}
18	device-mobile		hit	1	14	a:1:{i:0;a:5:{s:4:"type";s:16:"hardwareplatform";s:8:"platform";s:6:"mobile";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:4:{s:4:"type";s:11:"codesnippet";s:4:"code";s:85:"<style type="text/css">\
header.jumbotron {\
    background: red !important;\
}\
</style>";s:8:"selector";s:4:"head";s:8:"position";s:3:"end";}}
19	redirect-to-landingpage		session	1	15	a:2:{i:0;a:5:{s:4:"type";s:8:"language";s:8:"language";s:2:"de";s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}i:1;a:5:{s:4:"type";s:18:"visitedpagesbefore";s:6:"number";i:5;s:8:"operator";s:3:"and";s:11:"bracketLeft";b:0;s:12:"bracketRight";b:0;}}	a:1:{i:0;a:2:{s:4:"type";s:8:"redirect";s:3:"url";s:28:"/en/landingpages/landingpage";}}
