4846	specificAttributes	outside	inside	floot	water	water ground	constr	245	243	1
9896	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9916	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
9921	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10462	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10531	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10535	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10537	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10538	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10820	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10822	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
10823	specificAttributes	\N	\N	\N	\N	\N	\N	\N	\N	0
