4846	specificAttributes	VOLUME	WEIGHT	LOAD	MATERIAL	EXPAND
6630	specificAttributes	35	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
6631	specificAttributes	35	1.55	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
6632	specificAttributes	28	1.10	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
6633	specificAttributes	28	1.10	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
6635	specificAttributes	50+10	1.75	15	420D Nylon R/S, 600 Polyester	\N
6636	specificAttributes	50+10	1.75	15	420D Nylon R/S, 600 Polyester	\N
6637	specificAttributes	35	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
6638	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
6640	specificAttributes	35	1.55	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
6642	specificAttributes	35	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
6644	specificAttributes	8	0.25	3	600D Polyester	\N
6645	specificAttributes	8	0.25	3	600D Polyester	\N
6646	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
6647	specificAttributes	55+10	1.8	20	330D Nylon double R/S, 600D Polyester	\N
6648	specificAttributes	55+10	1.8	20	330D Nylon double R/S, 600D Polyester	\N
6649	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6650	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6651	specificAttributes	60+10	1.8	20	330D Nylon double R/S, 600D Polyester	\N
6652	specificAttributes	60+10	1.8	20	330D Nylon double R/S, 600D Polyester	\N
6653	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
6654	specificAttributes	\N	1.85	Max. 15	600D Polyester	\N
6657	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6660	specificAttributes	12	0.37	5	600D Polyester	\N
6661	specificAttributes	12	0.37	5	600D Polyester	\N
6663	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6664	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6665	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6667	specificAttributes	30	1.30	8	210D Nylon diamond R/S	\N
6668	specificAttributes	30	1.30	8	210D Nylon diamond R/S	\N
6669	specificAttributes	90	4.1	\N	420D Nylon matt, 330D Nylon Nailhead Dobby	73x40x30 cm
6670	specificAttributes	90	4.1	\N	420D Nylon matt, 330D Nylon Nailhead Dobby	73x40x30 cm
6671	specificAttributes	18	0.32	5	600D Polyester	\N
6675	specificAttributes	8	0.25	3	600D Polyester	\N
6677	specificAttributes	25	0.86	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6680	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6681	specificAttributes	\N	1.85	Max. 15	600D Polyester	\N
6682	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6683	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6685	specificAttributes	12	0.37	5	600D Polyester	\N
6687	specificAttributes	\N	2.88	Max. 15	600D Polyester	\N
6688	specificAttributes	70	2.90	20	420D Nylon matt, 330D Nylon nailhead dobby	\N
6689	specificAttributes	70	2.90	20	420D Nylon matt, 330D Nylon nailhead dobby	\N
6691	specificAttributes	12	0.3	5	600D Polyester	\N
6693	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6700	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6701	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6703	specificAttributes	18	0.32	5	600D Polyester	\N
6704	specificAttributes	\N	2.88	Max. 15	600D Polyester	\N
6705	specificAttributes	12	0.3	5	600D Polyester	\N
6706	specificAttributes	25	0.88	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6707	specificAttributes	40	2.7	\N	420D Nylon matt, 330D Nylon Nailhead Dobby	51x37x20 cm
6708	specificAttributes	40	2.7	\N	420D Nylon matt, 330D Nylon Nailhead Dobby	51x37x20 cm
6709	specificAttributes	18	0.32	5	600D Polyester	\N
6710	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6711	specificAttributes	25	0.88	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6712	specificAttributes	12	0.3	5	600D Polyester	\N
6714	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6715	specificAttributes	25	0.88	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6716	specificAttributes	45+10	1.7	20	330D Nylon double R/S, 600D Polyester	\N
6717	specificAttributes	45+10	1.7	20	330D Nylon double R/S, 600D Polyester	\N
6718	specificAttributes	25	0.88	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6719	specificAttributes	50+10	1.7	20	330D Nylon double R/S, 600D Polyester	\N
6720	specificAttributes	50+10	1.7	20	330D Nylon double R/S, 600D Polyester	\N
6892	specificAttributes	28 	1.10 	10+	420D Nylone HD OXFORD 330D Nylon Big Double R/S	\N
6899	specificAttributes	28 	1.10 	10+	420D Nylone HD OXFORD 330D Nylon Big Double R/S	\N
6901	specificAttributes	22 	1.05 	10+	420D Nylon HD OXFORD 330D Nylon Big Double R/S	\N
6903	specificAttributes	22 	1.05 	10+	420D Nylon HD OXFORD 330D Nylon Big Double R/S	\N
6914	specificAttributes	26 	1.05 	8+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
6915	specificAttributes	26 	1.05 	8+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
6916	specificAttributes	25 l	0.70 kg	8 kg +	420D Nylon R/S 600D Polyester	\N
6917	specificAttributes	25 l	0.70 kg	8 kg +	420D Nylon R/S 600D Polyester	\N
6922	specificAttributes	28 	0.94	8+	420D Nylon R/S 600D Polyester	\N
6923	specificAttributes	28 	0.94	8+	420D Nylon R/S 600D Polyester	\N
6930	specificAttributes	35 	0.98	8+	420D Nylon R/S 600D Polyester	\N
6931	specificAttributes	35 	0.98	8+	420D Nylon R/S 600D Polyester	\N
6933	specificAttributes	35 	0.98	8+	420D Nylon R/S 600D Polyester	\N
6940	specificAttributes	40+8 	1.40 	12+	210D Nylon Stripe Twill 330D Nylon Double R/S	\N
6941	specificAttributes	40+8 	1.40 	12+	210D Nylon Stripe Twill 330D Nylon Double R/S	\N
6944	specificAttributes	30	0.75 	8+	420D Nylon R/S 600D Polyester	\N
6945	specificAttributes	30	0.75 	8+	420D Nylon R/S 600D Polyester	\N
6947	specificAttributes	25 l	0.70 kg	8 kg +	420D Nylon R/S 600D Polyester	\N
6951	specificAttributes	25 l	0.70 kg	8 kg +	420D Nylon R/S 600D Polyester	\N
6952	specificAttributes	20	0.65	8 +	420D Nylon R/S 600D Polyester	\N
6953	specificAttributes	20	0.65	8 +	420D Nylon R/S 600D Polyester	\N
6956	specificAttributes	12	0.30	4	600D Polyester	\N
6957	specificAttributes	12	0.30	4	600D Polyester	\N
6958	specificAttributes	25	0.67	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
6959	specificAttributes	25	0.67	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
6960	specificAttributes	12	0.30	4	600D Polyester	\N
6961	specificAttributes	28 	1.12	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
6962	specificAttributes	28 	1.12	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
6963	specificAttributes	18	0.32	5+	600D Polyester	\N
6964	specificAttributes	25	0.67	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
6965	specificAttributes	8	0.25	3	600D Polyester	\N
6972	specificAttributes	40 	1.61 	15+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
6973	specificAttributes	40 	1.61 	15+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
6976	specificAttributes	25	0.38	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
6977	specificAttributes	25	0.38	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
6978	specificAttributes	7	0.65	4+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
6979	specificAttributes	7	0.65	4+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
6980	specificAttributes	25	0.38	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
6981	specificAttributes	12	0.37	5	600D Polyester	\N
6982	specificAttributes	8	0.25	3	600D Polyester	\N
6983	specificAttributes	7	0.65	4+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
6985	specificAttributes	18	0.32	5+	600D Polyester	\N
6986	specificAttributes	40	2.70	\N	420D Nylon Matt 330D Nylon Nailhead Dobby	51 x 37 x 20 cm
6987	specificAttributes	40	2.70	\N	420D Nylon Matt 330D Nylon Nailhead Dobby	51 x 37 x 20 cm
6988	specificAttributes	12	0.37	5	600D Polyester	\N
6989	specificAttributes	25	0.90	8+	420D Nylon R/S 600D Polyester	\N
6990	specificAttributes	25	0.90	8+	420D Nylon R/S 600D Polyester	\N
6991	specificAttributes	8	0.25	3	600D Polyester	\N
6992	specificAttributes	35 	1.55	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
6993	specificAttributes	35 	1.55	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
6995	specificAttributes	25	0.38	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
6996	specificAttributes	32 + 8 	 1.25 	12+	420D Nylon HD OXFORD 330D Nylon Big Double R/S	\N
6999	specificAttributes	18	0.80	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
7000	specificAttributes	18	0.80	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
7002	specificAttributes	35	1.19	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
7004	specificAttributes	12	0.37	5	600D Polyester	\N
7005	specificAttributes	25	0.46	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7006	specificAttributes	25	0.46	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7007	specificAttributes	25	0.86	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7008	specificAttributes	25	0.86	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7010	specificAttributes	35	1.19	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
7012	specificAttributes	22 	1.05 	10+	420D Nylon HD OXFORD 330D Nylon Big Double R/S	\N
7013	specificAttributes	12	0.37	5	600D Polyester	\N
7014	specificAttributes	25	0.67	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7015	specificAttributes	18	0.32	5+	600D Polyester	\N
7016	specificAttributes	25	0.88	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7017	specificAttributes	25	0.46	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7018	specificAttributes	28 	1.10 	10+	420D Nylone HD OXFORD 330D Nylon Big Double R/S	\N
7020	specificAttributes	25	0.88	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7021	specificAttributes	25	0.46	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7022	specificAttributes	35	0.80	8+	420D Nylon R/S 600D Polyester	\N
7023	specificAttributes	35	0.80	8+	420D Nylon R/S 600D Polyester	\N
7024	specificAttributes	25	0.88	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7025	specificAttributes	25	0.46	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7026	specificAttributes	30	0.75 	8+	420D Nylon R/S 600D Polyester	\N
7027	specificAttributes	25	0.38	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
7245	specificAttributes	25	0.7	8	450D Polyester Baby R/S, 600D Polyester	\N
7247	specificAttributes	30	1.45	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
7252	specificAttributes	28	0.80	8	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
7259	specificAttributes	40	1.61	15	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
7262	specificAttributes	22	0.57	7	600D Polyester	\N
7275	specificAttributes	40	1.61	15	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
7281	specificAttributes	35	1.55	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
7286	specificAttributes	25	0.86	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7288	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7289	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7292	specificAttributes	8	0.25	3	600D Polyester	\N
7298	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7299	specificAttributes	18	0.32	5	600D Polyester	\N
7303	specificAttributes	18	0.32	5	600D Polyester	\N
7306	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7310	specificAttributes	12	0.37	5	600D Polyester	\N
7320	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7321	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7324	specificAttributes	\N	1.85	Max. 15	600D Polyester	\N
7328	specificAttributes	25	0.46	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7333	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
7338	specificAttributes	\N	2.88	Max. 15	600D Polyester	\N
9032	specificAttributes	60+10 	1.8	20+	330D Nylon Double R/S 600D Polyester	\N
9034	specificAttributes	24 	0.60	6+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9035	specificAttributes	60+10 	1.8	20+	330D Nylon Double R/S 600D Polyester	\N
9037	specificAttributes	18 	0.50 	6+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9040	specificAttributes	38+8 	1.30	12+	210D Nylon Stripe Twill 330D Nylon Double R/S	\N
9042	specificAttributes	24 	0.60	6+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9043	specificAttributes	18 	0.50 	6+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9048	specificAttributes	18 	0.50 	6+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9049	specificAttributes	24 	0.60	6+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9050	specificAttributes	38+8 	1.30	12+	210D Nylon Stripe Twill 330D Nylon Double R/S	\N
9051	specificAttributes	55+10	1.8	20+	330D Double Ripstop 600D Polyester	\N
9053	specificAttributes	35 	1.55	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
9054	specificAttributes	20	0.65	8 +	420D Nylon R/S 600D Polyester	\N
9057	specificAttributes	20	0.65	8 +	420D Nylon R/S 600D Polyester	\N
9059	specificAttributes	20 	0.5	6+	70D Nylon 3 Line Ripstop R/S 210D Nylon Velocity	\N
9061	specificAttributes	20	0.65	8 +	420D Nylon R/S 600D Polyester	\N
9062	specificAttributes	75+10 	2.0 	20+	330D Double Ripstop 600D Polyester	\N
9063	specificAttributes	26 	1.05 	8+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9064	specificAttributes	20 	0.5	6+	70D Nylon 3 Line Ripstop R/S 210D Nylon Velocity	\N
9065	specificAttributes	55+10	1.8	20+	330D Double Ripstop 600D Polyester	\N
9066	specificAttributes	24 	1.0	8+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9068	specificAttributes	28 	1.12	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
9070	specificAttributes	40 	1.61 	15+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
9071	specificAttributes	24 	1.0	8+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9072	specificAttributes	75+10 	2.0 	20+	330D Double Ripstop 600D Polyester	\N
9073	specificAttributes	20 	0.95	8+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9074	specificAttributes	65+10 	1.9 	20+	330D Double Ripstop 600D Polyester	\N
9075	specificAttributes	20 	0.95	8+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9076	specificAttributes	30	0.75 	8+	420D Nylon R/S 600D Polyester	\N
9077	specificAttributes	65+10 	1.9 	20+	330D Double Ripstop 600D Polyester	\N
9079	specificAttributes	25 	0.7 	8+	420D Nylon R/S 600D Polyester	\N
9080	specificAttributes	25	1.05	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
9085	specificAttributes	25 	0.7 	8+	420D Nylon R/S 600D Polyester	\N
9087	specificAttributes	12	0.75	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9090	specificAttributes	25	0.8	6	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9092	specificAttributes	12	0.75	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9094	specificAttributes	25	1.05	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
9097	specificAttributes	25	0.8	6	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9098	specificAttributes	70	2.90	20+	420D Nylon Matt 330D Nylon Nailhead Dobby	\N
9099	specificAttributes	75+10	2.0	15+	420D Nylon R/S 600D Polyester	\N
9100	specificAttributes	12	0.75	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9101	specificAttributes	25	1.05	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
9104	specificAttributes	70	2.90	20+	420D Nylon Matt 330D Nylon Nailhead Dobby	\N
9106	specificAttributes	55+10	1.8	15+	420D Nylon R/S 600D Polyester	\N
9108	specificAttributes	75+10	2.0	15+	420D Nylon R/S 600D Polyester	\N
9109	specificAttributes	25	1.05	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
9111	specificAttributes	55+10	1.8	15+	420D Nylon R/S 600D Polyester	\N
9112	specificAttributes	30	1.45	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
9114	specificAttributes	35 	0.98	8+	420D Nylon R/S 600D Polyester	\N
9115	specificAttributes	30	1.45	8+	210D Nylon Double Diamond R/S 210D Nylon Stripe Twill	\N
9198	specificAttributes	50+10 l	1.75	15+	420D Nylon R/S 600D Polyester	\N
9210	specificAttributes	50+10 l	1.75	15+	420D Nylon R/S 600D Polyester	\N
9214	specificAttributes	18	0.80	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9233	specificAttributes	15	0.70	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9238	specificAttributes	15	0.70	5+	70D Nylon 3 Line R/S 210D Nylon Velocity	\N
9280	specificAttributes	25 l	0.70 kg	8 kg +	420D Nylon R/S 600D Polyester	\N
9285	specificAttributes	28 	0.94	8+	420D Nylon R/S 600D Polyester	\N
9613	specificAttributes	26	0.70	8	70 Nylon 3Line R/S, 210D Nylon Velocity	\N
9636	specificAttributes	26	0.70	8	70 Nylon 3Line R/S, 210D Nylon Velocity	\N
9640	specificAttributes	28	0.80	8	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
9641	specificAttributes	28	0.80	8	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
9648	specificAttributes	28	0.94	8	420D Nylon R/S, 600D Polyester	\N
9652	specificAttributes	25	0.90	8	420D Nylon R/S, 600D Polyester	\N
9654	specificAttributes	25	1.05	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
9655	specificAttributes	30	1.1	10	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
9656	specificAttributes	30	1.1	10	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
9662	specificAttributes	30	1.45	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
9666	specificAttributes	25	1.05	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
9671	specificAttributes	30	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
9672	specificAttributes	25	0.90	8	420D Nylon R/S, 600D Polyester	\N
9677	specificAttributes	25	0.95	5-8	210D Nylon diamond R/S	\N
9697	specificAttributes	30	1.25	8	210D Nylon diamond R/S	\N
9716	specificAttributes	30	1.25	8	210D Nylon diamond R/S	\N
9721	specificAttributes	25	0.95	5-8	210D Nylon diamond R/S	\N
9728	specificAttributes	25	1.0	5-8	210D Nylon diamond R/S	\N
9731	specificAttributes	25	0.7	8	450D Polyester Baby R/S, 600D Polyester	\N
9738	specificAttributes	22	0.57	7	600D Polyester	\N
9740	specificAttributes	25	0.86	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
9741	specificAttributes	25	1.0	5-8	210D Nylon diamond R/S	\N
9753	specificAttributes	22	0.57	7	600D Polyester	\N
9755	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10410	specificAttributes	32 + 8 	 1.25 	12+	420D Nylon HD OXFORD 330D Nylon Big Double R/S	\N
10412	specificAttributes	35	0.80	8+	420D Nylon R/S 600D Polyester	\N
10413	specificAttributes	35	0.80	8+	420D Nylon R/S 600D Polyester	\N
10414	specificAttributes	28 	0.94	8+	420D Nylon R/S 600D Polyester	\N
10415	specificAttributes	28 	0.94	8+	420D Nylon R/S 600D Polyester	\N
10416	specificAttributes	25	0.86	5-8	600D Polyester / 450D Polyester R/S Print: 600D Polyester	\N
10471	specificAttributes	28	0.80	8	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
10472	specificAttributes	30	1.45	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
10473	specificAttributes	25	0.70	8	450D Polyester Baby R/S, 600D Polyester	\N
10474	specificAttributes	25	0.7	8	450D Polyester Baby R/S, 600D Polyester	\N
10475	specificAttributes	30	1.1	10	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
10476	specificAttributes	45+8	1.5	15	210D Nylon stripe Twill, 330D Nylon double R/S	\N
10477	specificAttributes	30	1.30	8	210D Nylon diamond R/S	\N
10478	specificAttributes	25	0.70	8	450D Polyester Baby R/S, 600D Polyester	\N
10479	specificAttributes	28	0.94	8	420D Nylon R/S, 600D Polyester	\N
10480	specificAttributes	30	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
10481	specificAttributes	25	0.70	8	450D Polyester Baby R/S, 600D Polyester	\N
10482	specificAttributes	25	0.90	8	420D Nylon R/S, 600D Polyester	\N
10483	specificAttributes	30	1.25	8	210D Nylon diamond R/S	\N
10484	specificAttributes	32	1.16	10	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
10485	specificAttributes	35	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
